Sample,Time_interval,amend,mgmt,moisture,field_reps,All,Time.Amend.Mgmt,Amend.Mgmt,Amend.Moist,Mgmt.Moist,Time.Mgmt,Time.Moist,NH4,NO3,nrfA
NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,.,.,.
t2.Raw.FERT.95.R2,t2,Raw,FERT,95,2,t2.Raw.FERT.95,t2.Raw.FERT,Raw.FERT,Raw.95,FERT.95,t2.FERT,t2.95,355.4010291,0.5,41505.87
t2.Raw.FERT.95.R3,t2,Raw,FERT,95,3,t2.Raw.FERT.95,t2.Raw.FERT,Raw.FERT,Raw.95,FERT.95,t2.FERT,t2.95,317.7978111,0.5,36785.98828
t2.Raw.FERT.95.R4,t2,Raw,FERT,95,4,t2.Raw.FERT.95,t2.Raw.FERT,Raw.FERT,Raw.95,FERT.95,t2.FERT,t2.95,269.7425803,16.30333333,155487.6319
t2.Control.BM.60.R1,t2,Control,BM,60,1,t2.Control.BM.60,t2.Control.BM,Control.BM,Control.60,BM.60,t2.BM,t2.60,21.24103966,93.04967117,17542.2793
t2.Control.BM.60.R2,t2,Control,BM,60,2,t2.Control.BM.60,t2.Control.BM,Control.BM,Control.60,BM.60,t2.BM,t2.60,30.52047449,113.7202797,14529.51563
t2.Control.BM.60.R3,t2,Control,BM,60,3,t2.Control.BM.60,t2.Control.BM,Control.BM,Control.60,BM.60,t2.BM,t2.60,37.07082486,108.9698914,14638.78418
t2.Control.BM.60.R4,t2,Control,BM,60,4,t2.Control.BM.60,t2.Control.BM,Control.BM,Control.60,BM.60,t2.BM,t2.60,23.00935575,78.67011743,10135.90332
t2.Control.BM.95.R1,t2,Control,BM,95,1,t2.Control.BM.95,t2.Control.BM,Control.BM,Control.95,BM.95,t2.BM,t2.95,132.2652057,0.5,16448.19922
t2.Control.BM.95.R2,t2,Control,BM,95,2,t2.Control.BM.95,t2.Control.BM,Control.BM,Control.95,BM.95,t2.BM,t2.95,78.13737482,1.996282688,15714.69
t2.Control.BM.95.R3,t2,Control,BM,95,3,t2.Control.BM.95,t2.Control.BM,Control.BM,Control.95,BM.95,t2.BM,t2.95,45.60184169,14.52703666,15939.49121
t2.Control.BM.95.R4,t2,Control,BM,95,4,t2.Control.BM.95,t2.Control.BM,Control.BM,Control.95,BM.95,t2.BM,t2.95,106.848659,1.225949452,9821.402344
t2.Control.FERT.60.R1,t2,Control,FERT,60,1,t2.Control.FERT.60,t2.Control.FERT,Control.FERT,Control.60,FERT.60,t2.FERT,t2.60,21.18548319,43.38885523,17202.27344
t2.Control.FERT.60.R2,t2,Control,FERT,60,2,t2.Control.FERT.60,t2.Control.FERT,Control.FERT,Control.60,FERT.60,t2.FERT,t2.60,25.12740131,49.42313224,18896.43945
t2.Control.FERT.60.R3,t2,Control,FERT,60,3,t2.Control.FERT.60,t2.Control.FERT,Control.FERT,Control.60,FERT.60,t2.FERT,t2.60,14.24300053,41.02649997,11187.20996
t2.Control.FERT.60.R4,t2,Control,FERT,60,4,t2.Control.FERT.60,t2.Control.FERT,Control.FERT,Control.60,FERT.60,t2.FERT,t2.60,16.06687309,46.3417993,14254.51074
t2.Control.FERT.95.R1,t2,Control,FERT,95,1,t2.Control.FERT.95,t2.Control.FERT,Control.FERT,Control.95,FERT.95,t2.FERT,t2.95,22.00916757,7.191712706,17831.48633
t2.Control.FERT.95.R2,t2,Control,FERT,95,2,t2.Control.FERT.95,t2.Control.FERT,Control.FERT,Control.95,FERT.95,t2.FERT,t2.95,58.66312262,5.078863073,14531.66016
t2.Control.FERT.95.R3,t2,Control,FERT,95,3,t2.Control.FERT.95,t2.Control.FERT,Control.FERT,Control.95,FERT.95,t2.FERT,t2.95,43.48379613,9.403990556,10947.65625
